,code,name,i_median,i_from,i_average,i_mean,i_to,code_status,subcategory
BResd,BResd,Tappan,0,0,0,0.167262,6.636024,live,Cons electronics
BResr,BResr,TAR Aerolíneas,0,0,0,0.006338,0.483793,live,Airlines
BResf,BResf,"Tara, Ink",0,0,0,0.014511,0.535362,live,Prof services
BResg,BResg,Targus,0,0,0,0.004242,0.15748,live,Cons electronics
BRes8,BRes8,Tarocash,0,0,0,0.011772,0.695012,live,Clothing
BRese,BRese,TAROM,0,0,0,0.005240000000000001,0.15503899999999998,live,Airlines
BResj,BResj,Tarte Cosmetics,3.358819,0,3.358819,4.839614,43.88587,live,Beauty
BResk,BResk,Taryn Rose,0,0,0,0.0034349999999999997,0.16433899999999999,live,Shoes
BResm,BResm,TaskRabbit,0,0,0,0.037514,0.983227,live,Prof services
BResp,BResp,Taste Made,2.618724,0,2.618724,3.442076,23.586207,live,Food
BResq,BResq,Tasty Japan,0.944496,0,0.944496,1.424348,13.322656,live,Food
BResx,BResx,Tastypill,0.135163,0,0.135163,0.317347,5.011831,live,Games
BReso,BReso,TATA AIG,0,0,0,0.000134,0.020169,live,Insurance
BRest,BRest,Tata,0,0,0,0.002054,0.10449299999999999,live,Telecom
BRes1,BRes1,Tata DoCoMo,0,0,0,0.002705,0.178731,live,Telecom
BResu,BResu,Tata Harper,0.075075,0,0.075075,0.33528199999999997,7.356382,live,Beauty
BResw,BResw,Tata Motors,0,0,0,0.008198,0.325468,live,Auto makers
BResi,BResi,Tata Sky,0,0,0,0.0034649999999999998,0.173611,live,Cons electronics
BRess,BRess,Tatcha Beauty,0.24684000000000003,0,0.24684000000000003,0.6233700000000001,14.105716,live,Beauty
BResz,BResz,Tattersalls,0,0,0,0.010700999999999999,0.575126,live,Prof services
BResa,BResa,Taubman Centers,0,0,0,0.0012209999999999999,0.090171,live,Prof services
BRes3,BRes3,Tauck,0,0,0,0.007357,0.232378,live,Cruises
BRes4,BRes4,Taylor Guitars,0.191939,0,0.191939,0.407244,15.596726,live,Musical Instruments
BRes5,BRes5,Taylor Morrison,0,0,0,0.064916,1.6971859999999999,live,Prof services
BResh,BResh,Taylor Strategy,0,0,0,0.002754,0.13550099999999998,live,Prof services
BRes6,BRes6,Tazo,0.010627,0,0.010627,0.106639,1.819605,live,Drinks
BRes9,BRes9,TC Electronic,0.08942499999999999,0,0.08942499999999999,0.30296799999999996,14.652174,live,Cons electronics
BRezy,BRezy,TC1 Gel,0,0,0,0.039494999999999995,0.570004,live,Fitness
BRezb,BRezb,TCF Bank,0,0,0,0.000463,0.054705,live,Banks
BRezn,BRezn,Tchibo,0,0,0,0.034325999999999995,1.518367,live,Cafes
BRezd,BRezd,TCL,0,0,0,0.051758,2.6891249999999998,live,Cons electronics
BRezr,BRezr,TE Connectivity,0,0,0,0.004711,0.178253,live,Cons electronics
BRezf,BRezf,Teach for All,0,0,0,0.013675,0.33557000000000003,live,ORGs/Companies
BRezg,BRezg,Teach for America,0,0,0,0.045410000000000006,0.9249379999999999,live,ORGs/Companies
BRez8,BRez8,Teak Media + Communication,0,0,0,0.00035299999999999996,0.052549,live,Prof services
BReze,BReze,Teamfight Tactics,0,0,0,0.007271,0.23041499999999998,live,Games
BRezj,BRezj,Teami Blends,0.324891,0,0.324891,0.686569,7.367716,live,Drinks
BRezk,BRezk,Tech Mahindra,0,0,0,0.002751,0.127714,live,Technology
BRezc,BRezc,Technicolor SA,0,0,0,0.017632,0.502074,live,Prof services
BRezp,BRezp,Technip,0,0,0,0.009237,0.280505,live,Prof services
BRezq,BRezq,Technogym,0.028676999999999998,0,0.028676999999999998,0.085543,2.221018,live,Fitness
BRezx,BRezx,Techstars,0.012624,0,0.012624,0.090344,1.662181,live,Financial services
BRezo,BRezo,TechStyle Fashion,0,0,0,0.0014479999999999999,0.08090599999999999,live,eCommerce
BRezt,BRezt,TecMundo,0.042964999999999996,0,0.042964999999999996,0.44300799999999996,9.407666,live,Cons electronics
BRez1,BRez1,Tecnifibre,0,0,0,0.010480000000000001,0.218076,live,Sporting Goods
BRezu,BRezu,Ted Drewes,0,0,0,0.0027589999999999997,0.12437799999999999,live,Drinks
BRezw,BRezw,TEDi,0,0,0,0.009163,0.6972109999999999,live,Supermarkets
BRezi,BRezi,Teespring,0,0,0,0.000552,0.066269,live,eCommerce
BRezs,BRezs,Tegile Systems,0,0,0,0.0009800000000000002,0.08517899999999999,live,Cons electronics
BReza,BReza,Tekken,0,0,0,0.033842,0.839695,live,Games
BRez3,BRez3,Tele2,0,0,0,0.000195,0.0373,live,Telecom
BRez4,BRez4,Telecable,0,0,0,0.00142,0.124611,live,Telecom
BRez5,BRez5,Telecentro,0,0,0,0.014107999999999999,1.145038,live,Telecom
BRezh,BRezh,Teleflora,0.037446,0,0.037446,0.11430299999999999,3.166133,live,Online services
BRez7,BRez7,Telepizza,0,0,0,0.03672,2.800789,live,Casual dining
BRez6,BRez6,Tempur-Pedic,0,0,0,0.028395,0.561447,live,Household prod
BRez9,BRez9,Tenaris,0,0,0,0.001774,0.098039,live,Tools
BReay,BReay,TenneT,0,0,0,0.000178,0.040048,live,Energy
BReab,BReab,Teradata,0,0,0,0.005587,0.151286,live,Software
BRean,BRean,Terravision,0,0,0,0.002117,0.156986,live,Buses
BRead,BRead,Terry White Chemmart,0,0,0,0.0031100000000000004,0.282087,live,Stores & shops
BRear,BRear,Tesco Mobile,0,0,0,0.018285,0.715619,live,Telecom
BReaf,BReaf,Tetra Pak,0,0,0,0.005115,0.166574,live,Food
BReag,BReag,Tetra Tech,0,0,0,0.001973,0.104348,live,Prof services
BReae,BReae,Tezenis,0.15827000000000002,0,0.15827000000000002,0.46358699999999997,16.461064,live,Clothing
BReak,BReak,Thalys,0,0,0,0.0067139999999999995,0.325052,live,Trains
BReam,BReam,The 5th Column PR,0,0,0,0.008584999999999999,0.224719,live,Prof services
BReac,BReac,The Amplify,0,0,0,0.004477,0.13587000000000002,live,Prof services
BReap,BReap,The Automobile Association,0,0,0,0.0061329999999999996,0.333131,live,Financial services
BReaq,BReaq,The Baby Box Co,0,0,0,0.021630999999999997,0.831444,live,Online services
BReax,BReax,The Bali Bible,0.17654799999999998,0,0.17654799999999998,0.5550809999999999,13.312203,live,Travel booking
